step,cumulative time,step time,train loss,current mem MB,peak mem MB,Amazon_employee_access/ROC AUC,blood-transfusion-service-center/ROC AUC,diabetes/ROC AUC,ROC AUC
24,5.739729166030884,0.22291851043701172,1.190673589706421,2410.568704,6213.26848,0.5159574468085106,0.5931332236842105,0.27472527472527475,0.46127198173933187
49,11.341217041015625,0.2213754653930664,1.1759395599365234,2410.568704,6213.26848,0.6307624113475176,0.5655838815789473,0.2753846153846154,0.4905769694370268
74,16.966150522232056,0.21934151649475098,1.1855897903442383,2410.568704,6213.26848,0.5625,0.584498355263158,0.2423076923076923,0.4631020158569501
99,22.503701210021973,0.21944260597229004,1.1739462614059448,2410.568704,6213.26848,0.5141843971631206,0.62890625,0.324945054945055,0.4893452340360585
124,28.081716299057007,0.21927762031555176,1.120162010192871,2410.568704,6213.26848,0.5797872340425532,0.6519325657894737,0.5217582417582418,0.5844926805300895
149,33.78130626678467,0.22491168975830078,1.1272807121276855,2410.568704,6213.26848,0.43262411347517726,0.6683114035087719,0.7532967032967033,0.6180774067602175
174,39.39224576950073,0.22154617309570312,1.1635715961456299,2410.568704,6213.26848,0.5119680851063829,0.6868832236842106,0.6903296703296703,0.6297269930400878
199,45.10787582397461,0.22289109230041504,1.136192798614502,2410.568704,6213.26848,0.49024822695035464,0.623560855263158,0.7369230769230768,0.6169107197121965
224,50.78265452384949,0.2172691822052002,1.1577092409133911,2410.568704,6213.26848,0.5296985815602837,0.6197231359649122,0.7387912087912086,0.6294043087721349
249,56.5008499622345,0.22783446311950684,1.1135082244873047,2410.568704,6213.26848,0.5855496453900709,0.5965597587719298,0.7393406593406594,0.6404833545008867
274,62.196197271347046,0.218980073928833,1.1125046014785767,2410.568704,6213.26848,0.5465425531914894,0.532689144736842,0.7650549450549451,0.6147622143277588
299,67.94702053070068,0.22591638565063477,1.143783450126648,2410.568704,6213.26848,0.5022163120567376,0.5259731359649124,0.7661538461538462,0.598114431391832
324,73.53150272369385,0.23334646224975586,1.1299985647201538,2410.568704,6213.26848,0.5443262411347517,0.6082099780701754,0.7715384615384616,0.641358226914463
349,79.30701851844788,0.22231245040893555,1.0918606519699097,2410.568704,6213.26848,0.5363475177304965,0.643640350877193,0.7610989010989011,0.6470289232355302
374,85.08235359191895,0.22818732261657715,1.0635666847229004,2410.568704,6213.26848,0.5230496453900709,0.6786595394736842,0.6670329670329671,0.6229140506322407
399,90.84165525436401,0.23177552223205566,1.1231173276901245,2410.568704,6213.26848,0.5296985815602837,0.6675575657894737,0.727032967032967,0.6414297047942416
424,96.59562945365906,0.22649574279785156,1.0944501161575317,2410.568704,6213.26848,0.5088652482269503,0.6712582236842105,0.7493406593406594,0.6431547104172735
449,102.36781668663025,0.2317357063293457,1.1248102188110352,2410.568704,6213.26848,0.4769503546099291,0.6874314692982456,0.7424175824175826,0.6355998021085858
474,108.20795607566833,0.2203209400177002,1.113265037536621,2410.568704,6213.26848,0.49734042553191493,0.6781112938596491,0.7283516483516485,0.6346011225810707
499,114.00788712501526,0.2295246124267578,1.0898139476776123,2410.568704,6213.26848,0.4725177304964539,0.690720942982456,0.718131868131868,0.6271235138702593
524,119.80434274673462,0.23212885856628418,1.1098634004592896,2410.568704,6213.26848,0.4375,0.6923656798245613,0.6936263736263736,0.6078306844836449
549,125.61022472381592,0.24070429801940918,1.109506607055664,2410.568704,6213.26848,0.4627659574468085,0.6712582236842104,0.7423076923076923,0.6254439578129037
574,131.60485196113586,0.22912192344665527,1.0968427658081055,2410.568704,6213.26848,0.4707446808510638,0.6729029605263158,0.7624175824175824,0.6353550745983206
599,137.4854838848114,0.23270893096923828,1.0765737295150757,2410.568704,6213.26848,0.46941489361702127,0.6528919956140351,0.7702197802197802,0.6308422231502789
624,143.3633427619934,0.2279679775238037,1.0326480865478516,2410.568704,6213.26848,0.5039893617021277,0.6896244517543859,0.7814285714285715,0.6583474616283618
649,149.1157364845276,0.2304701805114746,1.089601755142212,2410.568704,6213.26848,0.4193262411347518,0.6874314692982456,0.7708791208791209,0.6258789437707061
674,154.98347806930542,0.22489404678344727,1.1167806386947632,2410.568704,6213.26848,0.4259751773049646,0.6766036184210527,0.7519230769230769,0.6181672908830315
699,160.80327105522156,0.22944235801696777,1.087038516998291,2410.568704,6213.26848,0.4197695035460993,0.6863349780701754,0.7563736263736265,0.6208260359966337
724,166.73081922531128,0.2360975742340088,1.0883280038833618,2410.568704,6213.26848,0.4304078014184397,0.6900356359649121,0.7569230769230769,0.6257888381021429
749,172.63881039619446,0.23044943809509277,1.068666696548462,2410.568704,6213.26848,0.4547872340425532,0.6946957236842105,0.7758241758241758,0.6417690445169799
774,178.55509543418884,0.2294611930847168,1.0916247367858887,2410.568704,6213.26848,0.4574468085106383,0.696203399122807,0.7765934065934066,0.6434145380756173
799,184.472962141037,0.2277512550354004,1.091431975364685,2410.568704,6213.26848,0.45744680851063835,0.7062088815789473,0.7687912087912088,0.6441489662935982
824,190.3914704322815,0.23340940475463867,1.116776943206787,2410.568704,6213.26848,0.4654255319148936,0.7059347587719298,0.7665934065934065,0.6459845657600766
849,196.297260761261,0.23244714736938477,1.0636804103851318,2410.568704,6213.26848,0.4782801418439716,0.7103207236842106,0.7592307692307692,0.6492772115863171
874,202.13479733467102,0.23462533950805664,1.0672721862792969,2410.568704,6213.26848,0.4929078014184397,0.7041529605263158,0.7669230769230769,0.6546612796226108
899,207.99981546401978,0.22791814804077148,1.0491303205490112,2410.568704,6213.26848,0.4902482269503547,0.71484375,0.7724175824175824,0.6591698531226458
924,214.1160945892334,0.25551557540893555,1.0952115058898926,2410.568704,6213.26848,0.4920212765957447,0.7223821271929823,0.7735164835164836,0.6626399624350702
949,220.46548795700073,0.25231456756591797,1.085118055343628,2410.568704,6213.26848,0.4862588652482269,0.7229303728070176,0.7649450549450549,0.6580447643334332
974,226.632661819458,0.2444610595703125,1.0269135236740112,2410.568704,6213.26848,0.49202127659574474,0.723204495614035,0.7559340659340659,0.6570532793812819
999,232.68307328224182,0.2315664291381836,1.077588677406311,2410.568704,6213.26848,0.47429078014184395,0.7193667763157894,0.729010989010989,0.6408895151562074
1024,238.8275501728058,0.22729802131652832,1.131018042564392,2410.568704,6213.26848,0.47960992907801425,0.7325246710526315,0.7361538461538462,0.6494294820948306
1049,244.70596551895142,0.24163413047790527,1.098336935043335,2410.568704,6213.26848,0.5062056737588653,0.7207373903508771,0.731978021978022,0.6529736953625881
1074,251.0672047138214,0.26776719093322754,1.0520427227020264,2410.568704,6213.26848,0.4982269503546099,0.7066200657894736,0.7336263736263736,0.6461577965901523
1099,257.6408417224884,0.26021838188171387,1.1086804866790771,2410.568704,6213.26848,0.5062056737588653,0.697985197368421,0.7284615384615384,0.6442174698629416
1124,264.21387696266174,0.2603745460510254,1.082713007926941,2410.568704,6213.26848,0.512854609929078,0.6793448464912281,0.7287912087912087,0.6403302217371716
1149,270.73364329338074,0.2563455104827881,1.0817205905914307,2410.568704,6213.26848,0.5146276595744681,0.658922697368421,0.7259340659340661,0.6331614742923184
1174,277.21824765205383,0.2599954605102539,1.1019138097763062,2410.568704,6213.26848,0.5132978723404256,0.6456277412280702,0.724065934065934,0.6276638492114767
1199,283.7092535495758,0.2560122013092041,1.0895394086837769,2410.568704,6213.26848,0.5195035460992908,0.624109100877193,0.7240659340659341,0.6225595270141393
1224,290.0542595386505,0.25286006927490234,1.0753194093704224,2410.568704,6213.26848,0.5305851063829787,0.6161595394736842,0.7275824175824176,0.6247756878130267
1249,296.557585477829,0.24971866607666016,1.0656418800354004,2410.568704,6213.26848,0.5345744680851064,0.6193119517543859,0.7252747252747253,0.6263870483714059
1274,303.0030286312103,0.2585000991821289,1.0819987058639526,2410.568704,6213.26848,0.5416666666666667,0.634251644736842,0.7283516483516485,0.6347566532517191
1299,309.52557015419006,0.2583630084991455,1.0994739532470703,2410.568704,6213.26848,0.5434397163120567,0.6295915570175439,0.7303296703296703,0.6344536478864237
1324,316.0107960700989,0.2610912322998047,1.0997947454452515,2410.568704,6213.26848,0.5576241134751774,0.6420641447368421,0.7242857142857143,0.6413246574992445
1349,322.52857089042664,0.2633779048919678,1.1097396612167358,2410.568704,6213.26848,0.5447695035460993,0.6441200657894738,0.7249450549450549,0.6379448747602093
1374,329.11638927459717,0.26654529571533203,1.092629075050354,2410.568704,6213.26848,0.5562943262411347,0.6539884868421053,0.7208791208791209,0.6437206446541204
1399,335.66852045059204,0.2582828998565674,1.0966426134109497,2410.568704,6213.26848,0.5629432624113475,0.6515213815789475,0.7228571428571429,0.6457739289491459
1424,342.4946291446686,0.2971203327178955,1.0661777257919312,2410.568704,6213.26848,0.561613475177305,0.6506990131578947,0.7248351648351647,0.6457158843901215
1449,349.0570161342621,0.2640650272369385,1.0780197381973267,2410.568704,6213.26848,0.56427304964539,0.6443941885964911,0.7241758241758242,0.6442810208059018
1474,355.60838437080383,0.2608671188354492,1.1114990711212158,2410.568704,6213.26848,0.5757978723404256,0.6479577850877193,0.7271428571428571,0.6502995048570007
1499,362.11650562286377,0.2610654830932617,1.013509750366211,2410.568704,6213.26848,0.5824468085106382,0.6331551535087719,0.7286813186813186,0.648094426900243
