step,cumulative time,step time,train loss,current mem MB,peak mem MB,Amazon_employee_access/ROC AUC,blood-transfusion-service-center/ROC AUC,diabetes/ROC AUC,ROC AUC
24,6.241509914398193,0.2217419147491455,1.193304181098938,23.799808,3523.887616,0.5301418439716312,0.5816200657894737,0.2510989010989011,0.45428693695333533
49,11.829910278320312,0.22066211700439453,1.1769227981567383,23.799808,3523.887616,0.5629432624113475,0.5892955043859649,0.24659340659340656,0.46627739113023964
74,17.23169445991516,0.2136368751525879,1.1850465536117554,23.799808,3523.887616,0.5842198581560283,0.5698327850877193,0.2743956043956044,0.47614941587978404
99,22.641704320907593,0.214949369430542,1.1664319038391113,23.799808,3523.887616,0.5682624113475178,0.591625548245614,0.3523076923076923,0.5040652173002748
124,28.131852626800537,0.21817612648010254,1.136922836303711,23.799808,3523.887616,0.5341312056737588,0.5457099780701754,0.4469230769230769,0.5089214202223371
149,33.58042931556702,0.2217848300933838,1.115152359008789,23.799808,3523.887616,0.5651595744680851,0.5918996710526315,0.6065934065934065,0.5878842173713744
174,39.10109829902649,0.2166752815246582,1.1409854888916016,23.799808,3523.887616,0.6555851063829787,0.5879248903508771,0.649010989010989,0.630840328581615
199,44.63984203338623,0.2175922393798828,1.1091777086257935,23.799808,3523.887616,0.48714539007092195,0.6032757675438597,0.6657142857142857,0.5853784811096892
224,50.17856788635254,0.2184901237487793,1.1398862600326538,23.799808,3523.887616,0.41001773049645385,0.5762746710526315,0.681868131868132,0.5560535111390724
249,55.78050780296326,0.22221112251281738,1.0924420356750488,23.799808,3523.887616,0.47207446808510634,0.5277549342105263,0.6823076923076923,0.560712364867775
274,61.36411929130554,0.22221851348876953,1.1031872034072876,23.799808,3523.887616,0.5226063829787235,0.5017132675438596,0.6842857142857143,0.5695351216027658
299,67.08866310119629,0.2238445281982422,1.1394845247268677,23.799808,3523.887616,0.4955673758865248,0.5143229166666666,0.6874725274725274,0.5657876066752396
