step,cumulative time,step time,train loss,current mem MB,peak mem MB,Amazon_employee_access/ROC AUC,blood-transfusion-service-center/ROC AUC,diabetes/ROC AUC,ROC AUC
24,6.130064249038696,0.2404632568359375,1.1901935338974,23.799808,4268.711424,0.5195035460992908,0.5832648026315789,0.26879120879120877,0.45718651917402614
49,12.38700819015503,0.23890972137451172,1.1752103567123413,23.799808,4268.711424,0.6072695035460993,0.5713404605263157,0.2693406593406593,0.48265020780435813
74,18.558038234710693,0.22771787643432617,1.1849545240402222,23.799808,4268.711424,0.5155141843971631,0.5872395833333334,0.24461538461538462,0.44912305078196035
99,24.428412437438965,0.23087430000305176,1.1745632886886597,23.799808,4268.711424,0.4880319148936171,0.5923108552631579,0.41406593406593406,0.498136234740903
124,30.616180181503296,0.2374589443206787,1.1275200843811035,23.799808,4268.711424,0.5797872340425532,0.640419407894737,0.5056043956043956,0.5752703458472286
149,36.645427227020264,0.23313617706298828,1.1387965679168701,23.799808,4268.711424,0.549645390070922,0.5806606359649122,0.6947252747252746,0.6083437669203696
174,42.86117911338806,0.2382214069366455,1.1699599027633667,23.799808,4268.711424,0.5917553191489362,0.6439830043859649,0.4867032967032967,0.5741472067460659
199,49.039313316345215,0.23997783660888672,1.1714913845062256,23.799808,4268.711424,0.5718085106382979,0.6831825657894737,0.38241758241758245,0.5458028862817846
224,55.320735931396484,0.24334216117858887,1.169042706489563,23.799808,4268.711424,0.5651595744680851,0.6946957236842106,0.3179120879120879,0.5259224620214612
249,61.587987661361694,0.2388012409210205,1.1195608377456665,23.799808,4268.711424,0.5687056737588652,0.6909950657894737,0.34054945054945057,0.5334167300325965
274,67.73934006690979,0.2403404712677002,1.1227495670318604,23.799808,4268.711424,0.5075354609929078,0.6840049342105262,0.42142857142857143,0.5376563222106685
299,73.92463493347168,0.2430434226989746,1.1511225700378418,23.799808,4268.711424,0.6143617021276596,0.6894873903508771,0.4645054945054945,0.5894515289946771
324,79.92372179031372,0.23695635795593262,1.138455867767334,23.799808,4268.711424,0.6812943262411347,0.6822231359649122,0.5556043956043957,0.6397072859368143
349,86.09905815124512,0.238206148147583,1.1062606573104858,23.799808,4268.711424,0.5997340425531915,0.6953810307017544,0.483956043956044,0.5930237057369966
374,92.38415575027466,0.2731907367706299,1.067042589187622,23.799808,4268.711424,0.5407801418439716,0.6908580043859649,0.44978021978021976,0.5604727886700521
399,98.96303653717041,0.25968194007873535,1.1266974210739136,23.799808,4268.711424,0.5048758865248226,0.670984100877193,0.5035164835164835,0.5597921569728331
424,105.53832364082336,0.2864100933074951,1.0993496179580688,23.799808,4268.711424,0.49512411347517726,0.6704358552631577,0.5785714285714286,0.5813771324365878
449,112.11514329910278,0.25267481803894043,1.1291351318359375,23.799808,4268.711424,0.5075354609929078,0.6674205043859649,0.5517582417582417,0.5755714023790381
474,118.69288682937622,0.2663688659667969,1.1303205490112305,23.799808,4268.711424,0.5478723404255319,0.6702987938596491,0.50010989010989,0.5727603414650236
499,125.28742861747742,0.2610588073730469,1.103403925895691,23.799808,4268.711424,0.5944148936170213,0.6675575657894737,0.45571428571428574,0.5725622483735936
524,131.94445276260376,0.27609729766845703,1.1071664094924927,23.799808,4268.711424,0.6063829787234043,0.6598821271929824,0.4468131868131868,0.5710260975765246
549,138.66127347946167,0.26304173469543457,1.1107534170150757,23.799808,4268.711424,0.6165780141843972,0.6615268640350876,0.5452747252747252,0.6077932011647367
574,145.33363699913025,0.2599353790283203,1.0951184034347534,23.799808,4268.711424,0.6161347517730497,0.6698876096491228,0.5712087912087913,0.6190770508769879
599,152.07531094551086,0.26662564277648926,1.0757207870483398,23.799808,4268.711424,0.586436170212766,0.6618009868421051,0.5907692307692308,0.6130021292747005
624,159.02781414985657,0.2866668701171875,1.0502214431762695,23.799808,4268.711424,0.5602836879432624,0.6686540570175438,0.5716483516483517,0.600195365536386
649,165.5536766052246,0.2716395854949951,1.0918395519256592,23.799808,4268.711424,0.5536347517730498,0.6685169956140351,0.5415384615384615,0.5878967363085155
674,172.23890089988708,0.26289987564086914,1.122430443763733,23.799808,4268.711424,0.5381205673758865,0.6687911184210525,0.5319780219780219,0.5796299025916537
699,178.92277598381042,0.26119184494018555,1.0866755247116089,23.799808,4268.711424,0.537677304964539,0.6830455043859648,0.5096703296703297,0.5767977130069445
724,185.57418727874756,0.27504730224609375,1.0924227237701416,23.799808,4268.711424,0.5589539007092199,0.68359375,0.504065934065934,0.5822045282583846
749,192.2749366760254,0.2649056911468506,1.0723719596862793,23.799808,4268.711424,0.5784574468085106,0.6827713815789473,0.5959340659340658,0.6190542981071746
774,199.2650785446167,0.2790346145629883,1.09207284450531,23.799808,4268.711424,0.575354609929078,0.6946957236842104,0.6172527472527473,0.6291010269553453
799,206.2296028137207,0.2784593105316162,1.0945854187011719,23.799808,4268.711424,0.5997340425531915,0.7060718201754387,0.5969230769230769,0.6342429798839023
824,213.20402669906616,0.27797985076904297,1.1193842887878418,23.799808,4268.711424,0.6090425531914894,0.7018229166666666,0.5932967032967033,0.6347207243849531
849,220.16265439987183,0.2807345390319824,1.06797456741333,23.799808,4268.711424,0.5602836879432624,0.7029194078947368,0.5815384615384616,0.6149138524588202
874,227.11291456222534,0.28102970123291016,1.0718899965286255,23.799808,4268.711424,0.5274822695035462,0.6999040570175439,0.5721978021978021,0.5998613762396308
899,234.03649139404297,0.2800099849700928,1.03745698928833,23.799808,4268.711424,0.5088652482269503,0.6975740131578947,0.569120879120879,0.5918533801685747
924,240.98401641845703,0.2791438102722168,1.0960445404052734,23.799808,4268.711424,0.5048758865248227,0.6942845394736841,0.559010989010989,0.5860571383364985
949,247.45044612884521,0.26190662384033203,1.088525414466858,23.799808,4268.711424,0.48714539007092206,0.6934621710526315,0.5473626373626373,0.5759900661620637
974,254.11377573013306,0.26940441131591797,1.027786374092102,23.799808,4268.711424,0.4711879432624113,0.688390899122807,0.5481318681318681,0.5692369035056954
999,260.7278800010681,0.25838375091552734,1.0819251537322998,23.799808,4268.711424,0.49113475177304966,0.6916803728070174,0.5441758241758241,0.575663649585297
1024,267.3805980682373,0.2613551616668701,1.128034234046936,23.799808,4268.711424,0.5057624113475176,0.6934621710526315,0.5495604395604395,0.5829283406535296
1049,273.99883222579956,0.27940964698791504,1.0982252359390259,23.799808,4268.711424,0.5226063829787234,0.6945586622807018,0.5632967032967032,0.5934872495187095
1074,280.9215655326843,0.28302884101867676,1.0545488595962524,23.799808,4268.711424,0.5336879432624113,0.6971628289473684,0.5747252747252747,0.6018586823116848
1099,288.28027272224426,0.29332804679870605,1.1132347583770752,23.799808,4268.711424,0.5398936170212766,0.704564144736842,0.5951648351648352,0.6132075323076512
