step,cumulative time,step time,train loss,Amazon_employee_access/ROC AUC,blood-transfusion-service-center/ROC AUC,diabetes/ROC AUC,ROC AUC
24,1.7624177932739258,0.06358623504638672,1.1993134021759033,0.4663120567375887,0.5895696271929824,0.25186813186813184,0.4359166052662344
49,3.3300085067749023,0.06384539604187012,1.182663917541504,0.5062056737588652,0.5836759868421052,0.249010989010989,0.4462975498706532
74,4.920145511627197,0.06194448471069336,1.1598182916641235,0.5398936170212766,0.5547560307017544,0.35945054945054944,0.48470006572452684
99,6.504430532455444,0.06310057640075684,1.184180736541748,0.5678191489361702,0.6060169956140351,0.32197802197802194,0.4986047221760757
124,8.083219528198242,0.0632774829864502,1.1831049919128418,0.612145390070922,0.5714775219298246,0.3798901098901099,0.5211710072969522
149,9.664151430130005,0.07374906539916992,1.1648025512695312,0.6396276595744681,0.5794270833333333,0.39989010989010987,0.5396482842659704
174,11.259569883346558,0.06398653984069824,1.1487905979156494,0.6458333333333334,0.6491913377192983,0.3759340659340659,0.5569862456622325
199,12.868030071258545,0.06275796890258789,1.1166576147079468,0.6653368794326241,0.7007264254385965,0.5512087912087912,0.6390906986933373
224,14.46845269203186,0.06420016288757324,1.1165014505386353,0.6152482269503546,0.5502330043859649,0.4438461538461539,0.5364424617274911
249,16.09694504737854,0.060959577560424805,1.1648445129394531,0.7158687943262413,0.4747121710526315,0.5916483516483517,0.5940764390090748
274,17.671684980392456,0.06553459167480469,1.1534276008605957,0.5678191489361702,0.4264665570175438,0.6786813186813186,0.5576556748783442
299,19.265610456466675,0.0623021125793457,1.1095402240753174,0.5425531914893617,0.3967242324561403,0.6881318681318681,0.54246976402579
324,20.844815731048584,0.0639805793762207,1.1695373058319092,0.4716312056737588,0.42852247807017546,0.6364835164835164,0.5122124000758169
349,22.46579384803772,0.06434345245361328,1.1323986053466797,0.47606382978723405,0.43044133771929827,0.5848351648351648,0.4971134441138991
374,24.078072547912598,0.06321334838867188,1.1337792873382568,0.5394503546099291,0.43893914473684215,0.5862637362637362,0.5215510785368358
399,25.706441402435303,0.06269001960754395,1.0345584154129028,0.6143617021276596,0.5030838815789473,0.624065934065934,0.5805038392575137
424,27.292181253433228,0.06664633750915527,1.0444514751434326,0.625,0.5188459429824561,0.6713186813186813,0.6050548747670458
449,28.912476301193237,0.06342506408691406,1.088698148727417,0.6830673758865249,0.5391310307017544,0.6171428571428571,0.6131137545770454
474,30.541138410568237,0.07011151313781738,1.2157700061798096,0.603723404255319,0.6161595394736842,0.5848351648351648,0.6015727028547226
499,32.17209768295288,0.06629371643066406,1.1599006652832031,0.5336879432624114,0.6535773026315789,0.6182417582417583,0.6018356680452496
524,33.81641983985901,0.0661771297454834,1.1312960386276245,0.5279255319148937,0.6287691885964912,0.6186813186813187,0.5917920130642346
549,35.456695795059204,0.060350894927978516,1.143193006515503,0.523936170212766,0.6267132675438596,0.5592307692307693,0.5699600689957983
574,37.10534119606018,0.061037540435791016,1.0949591398239136,0.5593971631205674,0.6249314692982456,0.5268131868131868,0.5703806064106667
599,38.7888503074646,0.06828784942626953,1.124592900276184,0.5531914893617021,0.5732593201754385,0.5506593406593407,0.5590367167321605
624,40.445425271987915,0.06557846069335938,1.0736223459243774,0.48359929078014185,0.5840871710526315,0.5191208791208791,0.5289357803178842
649,42.102479457855225,0.06544971466064453,1.0560023784637451,0.5048758865248227,0.6112253289473685,0.5035164835164835,0.5398725663295583
674,43.76153826713562,0.062439680099487305,1.0952565670013428,0.5647163120567377,0.6032757675438596,0.5072527472527473,0.5584149422844481
699,45.42509460449219,0.06728887557983398,1.134434700012207,0.45390070921985815,0.6006716008771931,0.47395604395604396,0.5095094513510318
724,47.10445213317871,0.06707358360290527,1.1002023220062256,0.4250886524822695,0.5950520833333334,0.47406593406593417,0.49806888996051235
749,48.78088140487671,0.06546258926391602,1.093045949935913,0.44636524822695034,0.5803865131578948,0.5090109890109891,0.5119209167986114
774,50.45205068588257,0.06528306007385254,1.0380539894104004,0.475177304964539,0.561609100877193,0.5268131868131869,0.5211998642183063
799,52.123451709747314,0.06686282157897949,1.1045855283737183,0.44946808510638303,0.5399533991228069,0.5257142857142858,0.5050452566478253
824,53.80090022087097,0.05836367607116699,1.0346016883850098,0.45390070921985815,0.5433799342105263,0.5476923076923077,0.514990983707564
849,55.48284935951233,0.061132192611694336,1.120836615562439,0.4862588652482269,0.5288514254385964,0.5559340659340659,0.5236814522069632
874,57.164222717285156,0.0694735050201416,1.0623332262039185,0.5381205673758865,0.5040433114035088,0.5704395604395603,0.537534479739652
899,58.86631441116333,0.06537127494812012,1.0609122514724731,0.5039893617021277,0.4954084429824561,0.6065934065934067,0.5353304037593302
924,60.55438733100891,0.06800198554992676,1.1016955375671387,0.4782801418439716,0.49856085526315785,0.6634065934065934,0.5467491968379076
949,62.22313141822815,0.06682133674621582,1.012398600578308,0.5350177304964538,0.49910910087719296,0.6816483516483516,0.5719250610073329
974,63.9202823638916,0.06565594673156738,1.055845856666565,0.5540780141843972,0.5333744517543859,0.6603296703296703,0.5825940454228178
999,65.63147640228271,0.0673825740814209,1.1163842678070068,0.5784574468085106,0.5488623903508771,0.6415384615384615,0.5896194328992831
1024,67.34556412696838,0.06661081314086914,1.0995460748672485,0.5899822695035462,0.5494106359649122,0.6348351648351648,0.5914093567678744
1049,69.0261595249176,0.06538581848144531,1.003741979598999,0.6148049645390071,0.5710663377192983,0.6246153846153846,0.60349556229123
1074,70.72329759597778,0.06344246864318848,1.0657742023468018,0.5935283687943262,0.6021792763157895,0.6430769230769231,0.6129281893956796
1099,72.39656949043274,0.06100773811340332,1.055960774421692,0.597517730496454,0.6468612938596491,0.6415384615384616,0.6286391619648549
1124,74.09932017326355,0.0662374496459961,1.0403848886489868,0.5828900709219859,0.6527549342105263,0.677032967032967,0.6375593240551597
1149,75.81357669830322,0.07078981399536133,0.987082302570343,0.5452127659574467,0.6620751096491228,0.6953846153846154,0.6342241636637284
1174,77.53577160835266,0.07046723365783691,1.1099092960357666,0.5195035460992908,0.6675575657894737,0.7100000000000001,0.6323537039629215
1199,79.26785588264465,0.06950068473815918,1.0216926336288452,0.5159574468085106,0.6702987938596491,0.722967032967033,0.6364077578783977
1224,80.95686912536621,0.06383442878723145,1.0755877494812012,0.523936170212766,0.6635827850877192,0.7317582417582418,0.6397590656862423
1249,82.64167618751526,0.06505441665649414,1.1204472780227661,0.5124113475177305,0.646861293859649,0.7337362637362637,0.6310029683712144
1274,84.33462810516357,0.07290267944335938,1.1141921281814575,0.5341312056737588,0.6216419956140351,0.7331868131868131,0.6296533381582023
1299,86.05517244338989,0.06691122055053711,1.090402603149414,0.5350177304964538,0.6016310307017544,0.7438461538461538,0.6268316383481206
1324,87.77210974693298,0.06839942932128906,1.0988043546676636,0.4844858156028369,0.5861430921052632,0.7414285714285714,0.6040191597122239
1349,89.48648118972778,0.06777334213256836,1.0802229642868042,0.47650709219858156,0.568188048245614,0.7218681318681318,0.5888544241041092
1374,91.1879723072052,0.0718235969543457,1.0572646856307983,0.4716312056737588,0.5550301535087719,0.7193406593406593,0.5820006728410633
1399,92.89551949501038,0.06660127639770508,1.0704883337020874,0.46719858156028365,0.5492735745614035,0.7220879120879121,0.5795200227365331
1424,94.6056559085846,0.06948041915893555,1.1257226467132568,0.4720744680851064,0.541735197368421,0.7206593406593407,0.578156335370956
1449,96.3331446647644,0.06669402122497559,1.0843021869659424,0.4844858156028369,0.5254248903508772,0.7367032967032967,0.582204667552337
1474,98.0502552986145,0.07104825973510742,1.034934401512146,0.4902482269503546,0.5184347587719298,0.7415384615384615,0.5834071490869153
1499,99.75489807128906,0.06836390495300293,1.1502286195755005,0.49157801418439717,0.508018092105263,0.7406593406593407,0.5800851489830002
