step,cumulative time,step time,train loss,current mem MB,peak mem MB,Amazon_employee_access/ROC AUC,blood-transfusion-service-center/ROC AUC,diabetes/ROC AUC,ROC AUC
24,8.4391770362854,0.3332362174987793,1.2037770748138428,146.275328,2090.241536,0.46719858156028365,0.5908031798245614,0.2573626373626373,0.4384547995824941
49,16.69825506210327,0.3223288059234619,1.1840213537216187,146.275328,2090.241536,0.4991134751773049,0.5843612938596491,0.23857142857142855,0.4406820658694608
74,24.9286847114563,0.3334317207336426,1.1605677604675293,146.275328,2090.241536,0.5691489361702128,0.569421600877193,0.3752747252747252,0.5046150874407104
99,33.28756403923035,0.3305246829986572,1.1845383644104004,146.275328,2090.241536,0.5961879432624113,0.5879248903508771,0.2681318681318682,0.4840815672483855
124,41.65236806869507,0.33138298988342285,1.181888461112976,146.275328,2090.241536,0.5997340425531915,0.5773711622807018,0.2554945054945055,0.47753323677613296
149,50.08118462562561,0.33321523666381836,1.1619789600372314,146.275328,2090.241536,0.56427304964539,0.5816200657894737,0.26164835164835165,0.46918048902773846
174,58.54818415641785,0.33346128463745117,1.166883945465088,146.275328,2090.241536,0.5811170212765957,0.5993009868421052,0.29406593406593406,0.4914946473948783
199,67.00304412841797,0.3331024646759033,1.0783796310424805,146.275328,2090.241536,0.6272163120567376,0.6082099780701754,0.3292307692307692,0.5215523531192274
224,75.51182103157043,0.3415398597717285,1.1150585412979126,146.275328,2090.241536,0.6192375886524822,0.6131441885964912,0.43615384615384617,0.5561785411342731
249,84.1220760345459,0.3357963562011719,1.175804853439331,146.275328,2090.241536,0.601063829787234,0.6543996710526315,0.5376923076923077,0.5977186028440578
274,92.7174186706543,0.34973812103271484,1.158521056175232,146.275328,2090.241536,0.5757978723404256,0.6672834429824561,0.5581318681318681,0.6004043944849166
299,101.21979117393494,0.33840322494506836,1.1067805290222168,146.275328,2090.241536,0.6391843971631206,0.6804413377192983,0.6205494505494507,0.6467250618106232
324,109.56310200691223,0.3355519771575928,1.166855812072754,146.275328,2090.241536,0.5611702127659575,0.6827713815789473,0.7078021978021979,0.6505812640490342
349,118.02174782752991,0.33925533294677734,1.1334311962127686,146.275328,2090.241536,0.5567375886524824,0.6701617324561403,0.7135164835164836,0.6468052682083688
374,126.59772300720215,0.3348681926727295,1.173274278640747,146.275328,2090.241536,0.5820035460992907,0.6531661184210527,0.6778021978021977,0.637657287440847
399,135.1371283531189,0.3405461311340332,1.043912649154663,146.275328,2090.241536,0.5904255319148937,0.6437088815789473,0.5594505494505495,0.5978616543147969
424,144.1764838695526,0.3499937057495117,1.0627580881118774,146.275328,2090.241536,0.5806737588652482,0.6877055921052632,0.5725274725274725,0.6136356078326612
449,153.08552312850952,0.3415646553039551,1.1061220169067383,146.275328,2090.241536,0.513741134751773,0.7286869517543859,0.6626373626373626,0.6350218163811738
474,161.98383140563965,0.35673952102661133,1.1997826099395752,146.275328,2090.241536,0.48670212765957444,0.7003152412280701,0.7181318681318681,0.6350497456731709
499,170.7469563484192,0.34557294845581055,1.1556769609451294,146.275328,2090.241536,0.4995567375886525,0.5966968201754386,0.737912087912088,0.6113885485587264
524,179.6826455593109,0.3530580997467041,1.1323845386505127,146.275328,2090.241536,0.5035460992907802,0.5118558114035088,0.7554945054945055,0.5902988053962649
549,208.04307007789612,1.0924055576324463,1.155160665512085,146.275328,2090.241536,0.5452127659574468,0.48046874999999994,0.7513186813186813,0.5923333990920426
574,239.9402916431427,1.1857261657714844,1.1149483919143677,146.275328,2090.241536,0.5141843971631206,0.46936677631578944,0.7374725274725276,0.5736745669838125
599,274.7414071559906,1.077331304550171,1.1270792484283447,146.275328,2090.241536,0.5062056737588653,0.44606633771929827,0.7365934065934067,0.56295513935719
624,304.4393484592438,1.0323646068572998,1.0703952312469482,146.275328,2090.241536,0.4849290780141844,0.47334155701754377,0.730989010989011,0.5630865486735798
649,340.86558175086975,1.454099178314209,1.0609124898910522,146.275328,2090.241536,0.49468085106382975,0.46854440789473684,0.7101098901098901,0.5577783830228189
674,376.66587567329407,1.4520297050476074,1.094894289970398,146.275328,2090.241536,0.5172872340425532,0.4812911184210526,0.6668131868131868,0.5551305130922642
699,411.92892813682556,1.3099455833435059,1.1311320066452026,146.275328,2090.241536,0.5208333333333334,0.5237801535087719,0.6486813186813186,0.5644316018411413
724,430.2641603946686,0.8171017169952393,1.10597825050354,146.275328,2090.241536,0.4973404255319149,0.5827165570175438,0.6197802197802198,0.5666124007765595
749,451.5115649700165,0.8666954040527344,1.103289246559143,146.275328,2090.241536,0.4716312056737589,0.5971080043859649,0.6293406593406593,0.5660266231334611
774,472.3429169654846,0.649451732635498,1.0522829294204712,146.275328,2090.241536,0.4716312056737589,0.6252055921052632,0.6271428571428572,0.5746598849739598
