step,cumulative time,step time,train loss,current mem MB,peak mem MB,ROC AUC
24,3.1553893089294434,0.1090390682220459,0.474438339471817,22.87104,2828.721152,0.7556949593196113
49,6.091987133026123,0.12161135673522949,0.48630183935165405,22.877184,2828.727296,0.7767641390502508
74,9.043099164962769,0.11501860618591309,0.47740989923477173,22.877184,2828.727296,0.7983402311952363
99,11.980374813079834,0.12916040420532227,0.4283379018306732,22.877184,2828.727296,0.8227871145768525
124,14.985010147094727,0.1274421215057373,0.3872663676738739,22.877184,2828.727296,0.8413535514663222
149,17.978434801101685,0.12724065780639648,0.42651429772377014,22.877184,2828.727296,0.8446805003829617
174,20.967636346817017,0.11950492858886719,0.3631076216697693,22.877184,2828.727296,0.8500716857240909
199,23.98810577392578,0.12704706192016602,0.38434019684791565,22.877184,2828.727296,0.8548586657416298
224,26.950200080871582,0.1118922233581543,0.353394478559494,22.877184,2828.727296,0.8510353471087372
249,29.972787618637085,0.11767268180847168,0.36630749702453613,22.877184,2828.727296,0.8551222334235297
274,32.98919057846069,0.11006903648376465,0.341305673122406,22.866432,2629.974528,0.8497295862915898
299,36.05290126800537,0.11862039566040039,0.334990918636322,22.877184,2828.727296,0.858414680175574
324,39.10072612762451,0.11664557456970215,0.32816341519355774,22.877184,2828.727296,0.8535768074010684
349,42.15039896965027,0.11852359771728516,0.3891531825065613,22.877184,2828.727296,0.8479265347721074
374,45.19184875488281,0.12714242935180664,0.3518160879611969,22.877184,2828.727296,0.8561693354115915
399,48.25520586967468,0.1253218650817871,0.3265167772769928,22.877184,2828.727296,0.8500088163040876
424,51.33795666694641,0.11871600151062012,0.32936421036720276,22.877184,2828.727296,0.8629395963418489
449,54.42251777648926,0.11806392669677734,0.31399357318878174,22.877184,2828.727296,0.8483562072298846
474,57.4990451335907,0.12095069885253906,0.33460742235183716,22.877184,2828.727296,0.8495915271014718
499,60.6173312664032,0.1212458610534668,0.2615787386894226,22.877184,2828.727296,0.8483501370505161
524,63.69181776046753,0.14302897453308105,0.27055034041404724,22.877184,2828.727296,0.8458691203290608
549,66.74841094017029,0.1172952651977539,0.31280168890953064,22.866432,2629.974528,0.8466802206295978
574,69.84547710418701,0.12022733688354492,0.27236253023147583,22.877184,2828.727296,0.8476767344383223
599,72.93956112861633,0.1172642707824707,0.2193523645401001,22.877184,2828.727296,0.8522007869421954
624,76.0447165966034,0.1193230152130127,0.26974308490753174,22.877184,2828.727296,0.8304633791533242
649,79.12843132019043,0.11948227882385254,0.2332375943660736,22.877184,2828.727296,0.854498570276642
674,82.17278933525085,0.11918187141418457,0.2200278490781784,22.877184,2828.727296,0.8530847829932313
699,85.25694608688354,0.13494062423706055,0.2367168366909027,22.877184,2828.727296,0.8487651287889073
724,88.30859112739563,0.11770939826965332,0.2007521092891693,22.877184,2828.727296,0.8509025972370423
749,91.4025022983551,0.12653231620788574,0.20797674357891083,22.877184,2828.727296,0.8439814699113292
774,94.49256491661072,0.12268519401550293,0.15160521864891052,22.877184,2828.727296,0.8502076769911702
799,97.58536958694458,0.14876556396484375,0.156005397439003,22.877184,2828.727296,0.8388716986693802
824,100.63377022743225,0.11944031715393066,0.15667548775672913,22.866432,2629.974528,0.8459535530115145
849,103.69475936889648,0.1403799057006836,0.20051296055316925,22.877184,2828.727296,0.8430539100755354
874,106.77121829986572,0.12208867073059082,0.12949350476264954,22.877184,2828.727296,0.8391305002760981
899,109.83357691764832,0.11893224716186523,0.16443929076194763,22.877184,2828.727296,0.8355677872169364
924,112.89987134933472,0.1415424346923828,0.13367043435573578,22.877184,2828.727296,0.8325389429835167
949,115.99688386917114,0.11928606033325195,0.11811945587396622,22.877184,2828.727296,0.8484255481410603
974,119.12906098365784,0.1170952320098877,0.13916520774364471,22.877184,2828.727296,0.8381374222909482
999,122.27167272567749,0.12154817581176758,0.09293709695339203,22.877184,2828.727296,0.8464153083761016
