step,cumulative time,step time,train loss,current mem MB,peak mem MB,ROC AUC
24,2.671227216720581,0.10411524772644043,0.469169944524765,22.857216,1747.866624,0.7694470128789945
49,5.100184679031372,0.09746146202087402,0.4794057309627533,22.86336,1747.872768,0.7856441750542997
74,7.646984577178955,0.09991860389709473,0.4538010060787201,22.86336,1747.872768,0.8308501954287373
99,10.109739542007446,0.09759664535522461,0.4849613606929779,22.86336,1747.872768,0.8264446560934722
124,12.625046730041504,0.09715390205383301,0.38591092824935913,22.86336,1747.872768,0.8511075299065174
149,15.091031074523926,0.10304546356201172,0.40595412254333496,22.86336,1747.872768,0.8528253305700613
174,17.56575107574463,0.09952545166015625,0.3624560534954071,22.86336,1747.872768,0.8516320344758123
199,20.070531368255615,0.10326409339904785,0.38008952140808105,22.86336,1747.872768,0.8535952655732668
224,22.587737798690796,0.10535788536071777,0.3348923623561859,22.86336,1747.872768,0.8572308594262343
249,25.063872575759888,0.10347962379455566,0.3391042947769165,22.86336,1747.872768,0.8651080993401039
274,27.591588497161865,0.09919047355651855,0.3534352481365204,22.852608,1617.714688,0.8559573607933231
299,30.382100343704224,0.09865903854370117,0.34132394194602966,22.86336,1747.872768,0.8654501857588253
324,33.07906222343445,0.09760928153991699,0.3318179249763489,22.86336,1747.872768,0.8613604293263988
349,35.60574555397034,0.10767388343811035,0.36029618978500366,22.86336,1747.872768,0.8566577444123971
374,38.31588411331177,0.09841704368591309,0.3275648057460785,22.86336,1747.872768,0.8674655813509149
399,40.84994077682495,0.10110974311828613,0.30563613772392273,22.86336,1747.872768,0.8592579324424517
424,43.39363384246826,0.09885430335998535,0.3052341341972351,22.86336,1747.872768,0.8707062461976589
449,45.92412185668945,0.10759091377258301,0.2800314724445343,22.86336,1747.872768,0.8622009275234745
474,48.459431886672974,0.09956121444702148,0.276381254196167,22.86336,1747.872768,0.8642461997003386
499,51.09402346611023,0.09786510467529297,0.27889612317085266,22.86336,1747.872768,0.8588865287369536
524,53.802449226379395,0.09931635856628418,0.27935534715652466,22.86336,1747.872768,0.8495620113550708
549,56.37009620666504,0.09409213066101074,0.2652815282344818,22.852608,1617.714688,0.861501905763707
574,59.13666796684265,0.09845995903015137,0.2521544396877289,22.86336,1747.872768,0.8563318284930213
599,61.80967307090759,0.09989261627197266,0.22668378055095673,22.86336,1747.872768,0.8671900185554682
624,64.55578780174255,0.09874200820922852,0.2750316262245178,22.86336,1747.872768,0.861276095981818
649,67.23251533508301,0.10135245323181152,0.2563024163246155,22.86336,1747.872768,0.8595122653241128
674,69.80365347862244,0.10323429107666016,0.2151918113231659,22.86336,1747.872768,0.8640185593381376
699,72.32281494140625,0.0983283519744873,0.2078900784254074,22.86336,1747.872768,0.8562976181444323
724,74.87366342544556,0.09838461875915527,0.18910740315914154,22.86336,1747.872768,0.8521104977299125
749,77.40873312950134,0.10289406776428223,0.18648174405097961,22.86336,1747.872768,0.8569561461474848
774,80.01690816879272,0.10006999969482422,0.13373740017414093,22.86336,1747.872768,0.8606031433340071
799,82.56272768974304,0.10830950736999512,0.1386537253856659,22.86336,1747.872768,0.8536320463546568
824,85.12166023254395,0.10227036476135254,0.1564146876335144,22.852608,1617.714688,0.8625219008478979
849,87.67567157745361,0.09937858581542969,0.1407725065946579,22.86336,1747.872768,0.863450498874909
874,90.24124383926392,0.11354970932006836,0.13543196022510529,22.86336,1747.872768,0.8504023205384932
899,92.78171348571777,0.09889793395996094,0.1546511948108673,22.86336,1747.872768,0.8576844639837088
924,95.33996820449829,0.1102440357208252,0.13485929369926453,22.86336,1747.872768,0.8556216071753594
949,98.03685021400452,0.09731030464172363,0.11018393188714981,22.86336,1747.872768,0.8615730217969118
974,100.73398470878601,0.10199475288391113,0.11920417845249176,22.86336,1747.872768,0.851260928811426
999,103.26798224449158,0.09942626953125,0.07273130863904953,22.86336,1747.872768,0.8562385976755076
1024,105.82003974914551,0.10908389091491699,0.13202737271785736,22.86336,1747.872768,0.8541346777971256
1049,108.40050053596497,0.10964345932006836,0.07624491304159164,22.86336,1747.872768,0.860574910418718
1074,110.96324586868286,0.10826325416564941,0.08494824916124344,22.86336,1747.872768,0.8517881138039534
1099,113.69141960144043,0.09724903106689453,0.06676189601421356,22.852608,1617.714688,0.8566201474610449
1124,116.24911832809448,0.11470985412597656,0.062203168869018555,22.86336,1747.872768,0.8557482116596924
1149,118.78635001182556,0.10543322563171387,0.06269876658916473,22.86336,1747.872768,0.859667846082934
