step,cumulative time,step time,train loss,current mem MB,peak mem MB,ROC AUC
24,2.7425332069396973,0.10016059875488281,0.47420382499694824,22.87104,1747.86048,0.7555003088159244
49,5.17632532119751,0.0966649055480957,0.48694467544555664,22.877184,1747.866624,0.7635867790162043
74,7.641581773757935,0.1000521183013916,0.47635477781295776,22.877184,1747.866624,0.7986070143166129
99,10.12601113319397,0.10202145576477051,0.42818722128868103,22.877184,1747.866624,0.8058713496270724
124,12.588887929916382,0.10768270492553711,0.4171130657196045,22.877184,1747.866624,0.833108301297835
149,15.040537595748901,0.09837055206298828,0.4397340714931488,22.877184,1747.866624,0.8443218863628683
174,17.682409286499023,0.10048937797546387,0.36436304450035095,22.877184,1747.866624,0.8488821560341955
199,20.190912008285522,0.09875226020812988,0.3757435977458954,22.877184,1747.866624,0.8543346297115003
224,22.699283123016357,0.10593461990356445,0.36529165506362915,22.877184,1747.866624,0.8513767245131755
249,25.23455262184143,0.09601902961730957,0.34507009387016296,22.877184,1747.866624,0.859525982084678
274,27.712957859039307,0.09700393676757812,0.35524237155914307,22.866432,1617.708544,0.8538865805365204
299,30.155383825302124,0.09445476531982422,0.3461242616176605,22.877184,1747.866624,0.8586549107834749
324,32.88387870788574,0.0971522331237793,0.36324697732925415,22.877184,1747.866624,0.8590765612872895
349,35.39488697052002,0.10440373420715332,0.39195555448532104,22.877184,1747.866624,0.8559043357345941
374,37.941627979278564,0.10470700263977051,0.39031949639320374,22.877184,1747.866624,0.8588285271655468
399,40.46587657928467,0.1061866283416748,0.3223345875740051,22.877184,1747.866624,0.8543236126709224
424,42.90506339073181,0.09542250633239746,0.3384326100349426,22.877184,1747.866624,0.8653354277859322
449,45.41082262992859,0.0960991382598877,0.29356783628463745,22.877184,1747.866624,0.8564631485675018
474,47.874738931655884,0.09618902206420898,0.32487303018569946,22.877184,1747.866624,0.8633666286424276
499,50.353248834609985,0.0960848331451416,0.32069069147109985,22.877184,1747.866624,0.862749085544367
524,52.8038330078125,0.10815691947937012,0.29951223731040955,22.877184,1747.866624,0.8567504070733188
549,55.20784258842468,0.09140753746032715,0.27860701084136963,22.866432,1617.708544,0.8526000293230622
574,57.70216512680054,0.09757018089294434,0.33815711736679077,22.877184,1747.866624,0.8441682178781089
599,60.296741008758545,0.0962831974029541,0.2742665708065033,22.877184,1747.866624,0.8618185134828813
624,62.96567916870117,0.09734177589416504,0.30362147092819214,22.877184,1747.866624,0.8491939795543593
649,65.46422553062439,0.10905933380126953,0.2906830310821533,22.877184,1747.866624,0.85685049698346
674,68.04248642921448,0.09723305702209473,0.2683352828025818,22.877184,1747.866624,0.8598419382036158
699,70.52341079711914,0.09713315963745117,0.28537553548812866,22.877184,1747.866624,0.8481983385377247
724,73.12806272506714,0.10005569458007812,0.2501049339771271,22.877184,1747.866624,0.849292676344438
749,75.59244275093079,0.09699392318725586,0.26959460973739624,22.877184,1747.866624,0.8535133966175295
774,78.1784918308258,0.10687851905822754,0.2213020771741867,22.877184,1747.866624,0.8549585576973423
799,80.65026664733887,0.09678125381469727,0.20729854702949524,22.877184,1747.866624,0.8519319841016826
824,83.10594606399536,0.08903956413269043,0.2039598524570465,22.866432,1617.708544,0.8436483290834969
849,85.60629987716675,0.09810304641723633,0.19329334795475006,22.877184,1747.866624,0.8539182214853408
874,88.08122229576111,0.09712028503417969,0.20494619011878967,22.877184,1747.866624,0.846031443022679
899,90.55767869949341,0.09725809097290039,0.22570784389972687,22.877184,1747.866624,0.8481132407390347
924,93.0519802570343,0.10226058959960938,0.21545815467834473,22.877184,1747.866624,0.8468787723659984
949,95.5320897102356,0.09854960441589355,0.1917940080165863,22.877184,1747.866624,0.8468295550048659
974,98.031569480896,0.09811758995056152,0.16460824012756348,22.877184,1747.866624,0.8464763035529316
999,100.52532267570496,0.10011005401611328,0.13793471455574036,22.877184,1747.866624,0.8533276951811207
1024,103.01313734054565,0.09920787811279297,0.15094232559204102,22.877184,1747.866624,0.8561010918206764
1049,105.547536611557,0.1162574291229248,0.13592061400413513,22.877184,1747.866624,0.849247658467469
1074,108.05352783203125,0.09540033340454102,0.11133633553981781,22.877184,1747.866624,0.8421923327505678
1099,110.53562140464783,0.0923459529876709,0.10034243762493134,22.866432,1617.708544,0.8484611553670447
1124,113.01185727119446,0.10314702987670898,0.14328041672706604,22.877184,1747.866624,0.8573028742841045
1149,115.68292284011841,0.09724783897399902,0.09490834176540375,22.877184,1747.866624,0.8436162295708518
1174,118.37080240249634,0.09926486015319824,0.07576121389865875,22.877184,1747.866624,0.8519742659023787
1199,120.88267183303833,0.10547590255737305,0.11247247457504272,22.877184,1747.866624,0.8493013978589341
