step,cumulative time,step time,train loss,current mem MB,peak mem MB
24,1.8693089485168457,0.05927538871765137,1.147892951965332,22.832128,1115.813376
49,3.4141736030578613,0.06240653991699219,1.173969030380249,22.832128,1115.813376
74,4.97884202003479,0.06703925132751465,1.1922866106033325,22.832128,1115.813376
99,6.530679702758789,0.06676054000854492,1.2428053617477417,22.832128,1115.813376
124,8.126855373382568,0.0637366771697998,1.1996212005615234,22.832128,1115.813376
149,9.70038390159607,0.0664970874786377,1.1229429244995117,22.832128,1115.813376
174,11.311079502105713,0.06676197052001953,1.2061617374420166,22.832128,1115.813376
199,12.897616624832153,0.06386566162109375,1.1903481483459473,22.832128,1115.813376
224,14.488160133361816,0.06653094291687012,1.189669132232666,22.832128,1115.80672
249,16.128010988235474,0.06968069076538086,1.0771652460098267,22.832128,1115.813376
274,17.756300926208496,0.06635117530822754,1.068362832069397,22.832128,1115.813376
299,19.403551816940308,0.06869339942932129,1.0734202861785889,22.832128,1115.813376
324,21.011486053466797,0.05707192420959473,1.0877645015716553,22.832128,1115.813376
349,22.680575370788574,0.07139825820922852,1.067893147468567,22.832128,1115.813376
374,24.313498973846436,0.0676417350769043,1.1231805086135864,22.832128,1115.813376
399,25.95883345603943,0.04663372039794922,0.9862711429595947,22.780928,705.548288
424,27.594936847686768,0.06401681900024414,0.9949007034301758,22.832128,1115.813376
449,29.233403205871582,0.062302350997924805,1.0243027210235596,22.832128,1115.813376
474,30.914652109146118,0.07273101806640625,1.007258653640747,22.832128,1115.813376
499,32.559340715408325,0.06570267677307129,1.0516393184661865,22.832128,1115.813376
524,34.22519636154175,0.06049036979675293,1.0624372959136963,22.832128,1115.813376
549,35.88205099105835,0.06805539131164551,0.8958027958869934,22.832128,1115.813376
574,37.570417165756226,0.07262921333312988,1.032867670059204,22.832128,1115.813376
599,39.24966478347778,0.07261371612548828,1.0245964527130127,22.832128,1115.813376
624,40.86541438102722,0.05962252616882324,0.9945716857910156,22.832128,1115.80672
649,42.58042049407959,0.06710052490234375,0.9013360738754272,22.832128,1115.813376
674,44.23878765106201,0.07230091094970703,0.8955762982368469,22.832128,1115.813376
699,45.948455572128296,0.06907033920288086,0.8723915815353394,22.832128,1115.813376
724,47.63060426712036,0.07308578491210938,0.9383416175842285,22.832128,1115.813376
749,49.300559520721436,0.07376241683959961,0.8987898826599121,22.832128,1115.813376
774,51.00585603713989,0.07222890853881836,0.9079040288925171,22.832128,1115.813376
799,52.68976092338562,0.04699444770812988,0.7565605640411377,22.780928,705.548288
824,54.391597270965576,0.07398390769958496,0.8368226885795593,22.832128,1115.813376
849,56.06663393974304,0.07113456726074219,0.8449510335922241,22.832128,1115.813376
874,57.76707935333252,0.0777888298034668,0.764643132686615,22.832128,1115.813376
899,59.45216464996338,0.062314510345458984,0.8600192070007324,22.832128,1115.813376
924,61.134745597839355,0.06338882446289062,0.7784431576728821,22.832128,1115.813376
949,62.8434739112854,0.07503318786621094,0.6525205969810486,22.832128,1115.813376
974,64.54647994041443,0.06650304794311523,0.7696030139923096,22.832128,1115.813376
999,66.24061751365662,0.08221030235290527,0.7462149858474731,22.832128,1115.813376
1024,67.95681166648865,0.06660580635070801,0.7563837766647339,22.832128,1115.80672
1049,69.66638827323914,0.08167362213134766,0.6963311433792114,22.832128,1115.813376
1074,71.33221983909607,0.07110857963562012,0.6613553762435913,22.832128,1115.813376
1099,73.06198191642761,0.06784296035766602,0.6141997575759888,22.832128,1115.813376
1124,74.74623322486877,0.07019948959350586,0.6885576248168945,22.832128,1115.813376
1149,76.48979568481445,0.06802082061767578,0.6321375370025635,22.832128,1115.813376
1174,78.18397736549377,0.06405758857727051,0.7017180919647217,22.832128,1115.813376
1199,79.87135624885559,0.048551082611083984,0.5199271440505981,22.780928,705.548288
1224,81.61203289031982,0.07713127136230469,0.5484450459480286,22.832128,1115.813376
1249,83.30111002922058,0.06867527961730957,0.628889799118042,22.832128,1115.813376
1274,85.0311598777771,0.06911945343017578,0.5875418186187744,22.832128,1115.813376
1299,86.70653867721558,0.06110715866088867,0.6266958713531494,22.832128,1115.813376
1324,88.48050355911255,0.06566500663757324,0.5764034986495972,22.832128,1115.813376
