step,cumulative time,step time,train loss,current mem MB,peak mem MB
24,1.7976319789886475,0.06286001205444336,1.1368011236190796,22.832128,972.342784
49,3.2864506244659424,0.06946206092834473,1.1790132522583008,22.832128,972.342784
74,4.791333913803101,0.06444430351257324,1.1910912990570068,22.832128,972.342784
99,6.318018198013306,0.058576345443725586,1.2422468662261963,22.832128,972.342784
124,7.822540998458862,0.06512570381164551,1.197627305984497,22.832128,972.342784
149,9.305478572845459,0.06411981582641602,1.091799259185791,22.832128,972.342784
174,10.822301626205444,0.0645439624786377,1.175249695777893,22.832128,972.342784
199,12.337429761886597,0.06133580207824707,1.171677589416504,22.832128,972.342784
224,13.837916135787964,0.060265302658081055,1.1500256061553955,22.832128,972.336128
249,15.369982242584229,0.05560564994812012,1.0452429056167603,22.832128,972.342784
274,16.908620595932007,0.06098055839538574,1.0807011127471924,22.832128,972.342784
299,18.48633575439453,0.06381750106811523,1.0157456398010254,22.832128,972.342784
324,20.026453018188477,0.059157371520996094,1.0558925867080688,22.832128,972.342784
349,21.624608278274536,0.06426644325256348,1.0640009641647339,22.832128,972.342784
374,23.186715841293335,0.06515789031982422,1.066772699356079,22.832128,972.342784
399,24.750086307525635,0.04119515419006348,0.9713712930679321,22.780928,616.502272
424,26.323200941085815,0.06059122085571289,0.9731267094612122,22.832128,972.342784
449,27.92266345024109,0.06554937362670898,0.9932060241699219,22.832128,972.342784
474,29.532652616500854,0.06657266616821289,0.9704140424728394,22.832128,972.342784
499,31.1190505027771,0.0640108585357666,0.9907654523849487,22.832128,972.342784
524,32.74162936210632,0.06412601470947266,0.9620075225830078,22.832128,972.342784
549,34.30370116233826,0.0724177360534668,0.8336742520332336,22.832128,972.342784
574,35.90213370323181,0.07326507568359375,0.9319527745246887,22.832128,972.342784
599,37.436843395233154,0.06945157051086426,0.9904676675796509,22.832128,972.342784
624,39.01173138618469,0.06338787078857422,0.9189440011978149,22.832128,972.336128
649,40.61302924156189,0.06392335891723633,0.790291428565979,22.832128,972.342784
674,42.18965268135071,0.05827951431274414,0.7879533171653748,22.832128,972.342784
699,43.8222861289978,0.057277679443359375,0.7168468236923218,22.832128,972.342784
724,45.442601919174194,0.06446290016174316,0.7869302034378052,22.832128,972.342784
749,47.0989785194397,0.06698083877563477,0.7460845708847046,22.832128,972.342784
774,48.727030754089355,0.06853294372558594,0.765257716178894,22.832128,972.342784
799,50.33074116706848,0.0429224967956543,0.597043514251709,22.780928,616.502272
824,51.90939211845398,0.06387209892272949,0.6383312940597534,22.832128,972.342784
849,53.52256679534912,0.0686650276184082,0.6741196513175964,22.832128,972.342784
874,55.13937187194824,0.06841015815734863,0.606578528881073,22.832128,972.342784
899,56.7416787147522,0.06388592720031738,0.6855331659317017,22.832128,972.342784
924,58.361846923828125,0.06277585029602051,0.6524369120597839,22.832128,972.342784
949,59.95107316970825,0.06399869918823242,0.5914441347122192,22.832128,972.342784
974,61.600515842437744,0.06433320045471191,0.5967718362808228,22.832128,972.342784
999,63.185152769088745,0.06103324890136719,0.6191254258155823,22.832128,972.342784
1024,64.80603575706482,0.07174038887023926,0.6620499491691589,22.832128,972.336128
1049,66.4462628364563,0.06661272048950195,0.5103360414505005,22.832128,972.342784
1074,68.049724817276,0.06633806228637695,0.4890177845954895,22.832128,972.342784
1099,69.68267679214478,0.06761932373046875,0.4517458975315094,22.832128,972.342784
1124,71.26423048973083,0.06250452995300293,0.5586686134338379,22.832128,972.342784
1149,72.85482358932495,0.06394529342651367,0.4765499532222748,22.832128,972.342784
1174,74.48489165306091,0.07104659080505371,0.51133131980896,22.832128,972.342784
1199,76.09275150299072,0.04635143280029297,0.4574432075023651,22.780928,616.502272
1224,77.71583318710327,0.06410002708435059,0.41780009865760803,22.832128,972.342784
1249,79.35034489631653,0.05990004539489746,0.5026490092277527,22.832128,972.342784
1274,80.96953320503235,0.06002163887023926,0.3845425546169281,22.832128,972.342784
1299,82.58676242828369,0.07770419120788574,0.5341372489929199,22.832128,972.342784
1324,84.23386716842651,0.05946826934814453,0.4157511293888092,22.832128,972.342784
1349,85.84040212631226,0.061283111572265625,0.42851686477661133,22.832128,972.342784
1374,87.51780152320862,0.059957265853881836,0.4395569860935211,22.832128,972.342784
1399,89.1149754524231,0.06391000747680664,0.46937617659568787,22.832128,972.342784
1424,90.74702000617981,0.058293819427490234,0.4726180136203766,22.832128,972.336128
1449,92.37445998191833,0.07767462730407715,0.37737828493118286,22.832128,972.342784
1474,94.01014709472656,0.06389951705932617,0.3565308451652527,22.832128,972.342784
1499,95.61293411254883,0.06725740432739258,0.3964827358722687,22.832128,972.342784
1524,97.22748756408691,0.0638575553894043,0.4438040256500244,22.832128,972.342784
1549,98.8258707523346,0.0668020248413086,0.42048653960227966,22.832128,972.342784
1574,100.46388268470764,0.07500982284545898,0.42193174362182617,22.832128,972.342784
1599,102.06556940078735,0.04268479347229004,0.38921767473220825,22.780928,616.502272
1624,103.67217493057251,0.0703744888305664,0.34497517347335815,22.832128,972.342784
1649,105.2928876876831,0.06306648254394531,0.4211222529411316,22.832128,972.342784
1674,106.92640471458435,0.06834530830383301,0.31053057312965393,22.832128,972.342784
1699,108.58588600158691,0.06405949592590332,0.4507736265659332,22.832128,972.342784
1724,110.19834351539612,0.06457805633544922,0.33593419194221497,22.832128,972.342784
1749,111.7910315990448,0.06923556327819824,0.34718456864356995,22.832128,972.342784
1774,113.44696688652039,0.06466293334960938,0.39019203186035156,22.832128,972.342784
1799,115.05721926689148,0.06123971939086914,0.40610361099243164,22.832128,972.342784
1824,116.70416688919067,0.07385540008544922,0.3891390264034271,22.832128,972.336128
1849,118.35012674331665,0.057500362396240234,0.3187691867351532,22.832128,972.342784
1874,119.93761920928955,0.06341052055358887,0.3603508472442627,22.832128,972.342784
1899,121.58316898345947,0.0647432804107666,0.3374934792518616,22.832128,972.342784
1924,123.1836142539978,0.06993460655212402,0.42399629950523376,22.832128,972.342784
1949,124.83460807800293,0.0612180233001709,0.3208075165748596,22.832128,972.342784
1974,126.48045897483826,0.07341647148132324,0.3873640298843384,22.832128,972.342784
1999,128.09861087799072,0.04419088363647461,0.35220882296562195,22.780928,616.502272
