step,cumulative time,step time,train loss,Amazon_employee_access/ROC AUC,blood-transfusion-service-center/ROC AUC,diabetes/ROC AUC,ROC AUC
24,1.8902623653411865,0.0587918758392334,1.2116296291351318,0.5115248226950355,0.59765625,0.24934065934065935,0.4528405773452316
49,3.50097918510437,0.06396245956420898,1.1819700002670288,0.5558510638297872,0.6035498903508772,0.24054945054945054,0.4666501349100383
74,5.103997230529785,0.06819891929626465,1.1600711345672607,0.5217198581560283,0.5947779605263158,0.2953846153846154,0.4706274780223198
99,6.702918291091919,0.06389260292053223,1.1844885349273682,0.5851063829787234,0.5902549342105263,0.28098901098901097,0.4854501093927535
124,8.348760604858398,0.0636141300201416,1.1794121265411377,0.5979609929078014,0.590391995614035,0.3396703296703296,0.5093411060640554
149,9.960581541061401,0.06673526763916016,1.155657172203064,0.5611702127659575,0.5993009868421053,0.29456043956043954,0.48501054638950075
174,11.612081527709961,0.06658291816711426,1.1589219570159912,0.5483156028368794,0.5805235745614035,0.28472527472527476,0.4711881507078526
199,13.22282886505127,0.0681314468383789,1.093752145767212,0.5620567375886525,0.6010827850877193,0.34417582417582415,0.502438448950732
224,14.834131479263306,0.06627082824707031,1.1056932210922241,0.49423758865248224,0.4797834429824561,0.5616483516483517,0.5118897944277633
249,16.461823225021362,0.0619959831237793,1.146985650062561,0.5961879432624113,0.5602384868421053,0.6457142857142857,0.6007135719396007
274,18.105894327163696,0.06381416320800781,1.1647160053253174,0.648936170212766,0.5725740131578947,0.6404395604395604,0.620649914603407
299,19.75242042541504,0.07312273979187012,1.0837748050689697,0.6768617021276596,0.5805235745614036,0.7090109890109889,0.6554654219000174
324,21.36600112915039,0.06497454643249512,1.1502559185028076,0.6471631205673759,0.5543448464912281,0.7302197802197802,0.6439092490927947
349,23.00114917755127,0.06190848350524902,1.1346092224121094,0.5957446808510639,0.5461211622807017,0.7092307692307691,0.6170322041208449
374,24.6761372089386,0.05914616584777832,1.1521873474121094,0.5124113475177305,0.5951891447368421,0.6921978021978022,0.5999327648174583
399,26.328320026397705,0.06962060928344727,1.0432891845703125,0.5066489361702128,0.5621573464912281,0.6520879120879122,0.5736313982497844
424,28.01759433746338,0.06771159172058105,1.0580272674560547,0.46498226950354615,0.5384457236842105,0.6134065934065934,0.5389448621981168
449,29.698615789413452,0.06930851936340332,1.0725581645965576,0.48847517730496454,0.5256990131578948,0.6172527472527474,0.5438089792385356
474,31.397866249084473,0.06940007209777832,1.1979691982269287,0.5066489361702128,0.5744928728070174,0.6751648351648354,0.5854355480473552
499,33.07239389419556,0.06107687950134277,1.1449873447418213,0.4756205673758866,0.6199972587719298,0.7156043956043956,0.6037407405840707
524,34.7760169506073,0.06423807144165039,1.1448519229888916,0.4441489361702127,0.6080729166666666,0.7274725274725274,0.5932314601031355
549,36.476080894470215,0.06327033042907715,1.13228440284729,0.42686170212765956,0.5373492324561404,0.7268131868131867,0.5636747071323289
574,38.1833279132843,0.07623910903930664,1.1014412641525269,0.4578900709219858,0.528577302631579,0.7339560439560439,0.5734744725032028
599,39.86886501312256,0.06599617004394531,1.1132183074951172,0.44326241134751776,0.6154742324561403,0.7214285714285713,0.5933884050774098
624,41.5707221031189,0.06916522979736328,1.084120512008667,0.39273049645390073,0.680578399122807,0.7163736263736263,0.5965608406501114
649,43.260873794555664,0.06867480278015137,1.0577945709228516,0.4020390070921986,0.6764665570175439,0.7231868131868133,0.6005641257655187
674,44.9883337020874,0.06984210014343262,1.0849320888519287,0.3825354609929078,0.6648163377192983,0.7013186813186814,0.5828901600102958
699,46.708927392959595,0.06305193901062012,1.1289803981781006,0.3896276595744681,0.666735197368421,0.6535164835164835,0.5699597801531242
724,48.426011085510254,0.06169390678405762,1.099664568901062,0.3679078014184397,0.6581003289473684,0.6417582417582419,0.55592212404135
749,50.15415000915527,0.06724834442138672,1.0952750444412231,0.34352836879432624,0.649876644736842,0.6291208791208791,0.5408419642173491
