step,cumulative time,step time,train loss,current mem MB,peak mem MB,Amazon_employee_access/ROC AUC,blood-transfusion-service-center/ROC AUC,diabetes/ROC AUC,ROC AUC
399,27.71631908416748,0.07086467742919922,1.0432891845703125,28.8,1120.160768,0.5066489361702128,0.5621573464912281,0.6520879120879122,0.5736313982497844
424,29.435214281082153,0.07613420486450195,1.0580272674560547,28.8,1120.160768,0.46498226950354615,0.5384457236842105,0.6134065934065934,0.5389448621981168
449,31.177746772766113,0.06674599647521973,1.0725581645965576,28.8,1120.160768,0.48847517730496454,0.5256990131578948,0.6172527472527474,0.5438089792385356
474,32.9115092754364,0.06282305717468262,1.1979691982269287,28.8,1120.160768,0.5066489361702128,0.5744928728070174,0.6751648351648354,0.5854355480473552
499,34.654699087142944,0.06558847427368164,1.1449873447418213,28.8,1120.160768,0.4756205673758866,0.6199972587719298,0.7156043956043956,0.6037407405840707
524,36.41805648803711,0.06282424926757812,1.1448519229888916,28.8,1120.160768,0.4441489361702127,0.6080729166666666,0.7274725274725274,0.5932314601031355
549,38.16026329994202,0.06388568878173828,1.13228440284729,28.8,1120.160768,0.42686170212765956,0.5373492324561404,0.7268131868131867,0.5636747071323289
574,39.877769947052,0.0709066390991211,1.1014412641525269,28.8,1120.160768,0.4578900709219858,0.528577302631579,0.7339560439560439,0.5734744725032028
599,41.657421350479126,0.07054352760314941,1.1132183074951172,28.8,1120.160768,0.44326241134751776,0.6154742324561403,0.7214285714285713,0.5933884050774098
624,43.34175491333008,0.06638240814208984,1.084120512008667,28.8,1120.160768,0.39273049645390073,0.680578399122807,0.7163736263736263,0.5965608406501114
649,44.98660683631897,0.06395196914672852,1.0577945709228516,28.8,1120.160768,0.4020390070921986,0.6764665570175439,0.7231868131868133,0.6005641257655187
674,46.7536039352417,0.07447099685668945,1.0849320888519287,28.8,1120.160768,0.3825354609929078,0.6648163377192983,0.7013186813186814,0.5828901600102958
699,48.48861598968506,0.06789469718933105,1.1289803981781006,28.8,1120.160768,0.3896276595744681,0.666735197368421,0.6535164835164835,0.5699597801531242
724,50.203585386276245,0.07134008407592773,1.099664568901062,28.8,1120.160768,0.3679078014184397,0.6581003289473684,0.6417582417582419,0.55592212404135
749,51.911399126052856,0.06803607940673828,1.0952750444412231,28.8,1120.160768,0.34352836879432624,0.649876644736842,0.6291208791208791,0.5408419642173491
774,53.61707544326782,0.06109786033630371,1.039533257484436,28.8,1120.160768,0.3320035460992908,0.6645422149122807,0.6303296703296702,0.5422918104470806
799,55.348907709121704,0.07047891616821289,1.1105574369430542,28.8,1120.160768,0.34973404255319146,0.6815378289473685,0.5993406593406594,0.5435375102804064
824,57.06625747680664,0.0639500617980957,1.0149075984954834,28.8,1120.160768,0.36258865248226946,0.7030564692982456,0.6,0.555215040593505
849,58.76623010635376,0.06723785400390625,1.1221225261688232,28.8,1120.160768,0.34707446808510634,0.7104577850877193,0.5737362637362637,0.5437561723030298
874,60.461992263793945,0.06650304794311523,1.0641753673553467,28.8,1120.160768,0.3355496453900709,0.7229303728070174,0.5351648351648352,0.5312149511206412
899,62.14032816886902,0.06675100326538086,1.0695520639419556,28.8,1120.160768,0.3377659574468085,0.7271792763157894,0.5175824175824176,0.5275092171150052
924,63.79665207862854,0.06540203094482422,1.0784046649932861,28.8,1120.160768,0.33023049645390073,0.7323876096491228,0.5299999999999999,0.5308727020343412
949,65.47465944290161,0.06010580062866211,1.0054218769073486,28.8,1120.160768,0.300531914893617,0.7255345394736843,0.5225274725274726,0.5161979756315912
974,67.20323204994202,0.06661677360534668,1.0419156551361084,28.8,1120.160768,0.287677304964539,0.7190926535087718,0.5105494505494504,0.5057731363409204
999,68.88924646377563,0.061112165451049805,1.0989869832992554,28.8,1120.160768,0.29609929078014185,0.7116913377192982,0.5231868131868133,0.5103258138954178
1024,70.54907870292664,0.06108880043029785,1.1063076257705688,28.8,1120.160768,0.35593971631205673,0.7140213815789473,0.5027472527472526,0.5242361168794188
1049,72.24811625480652,0.06371068954467773,1.0038443803787231,28.8,1120.160768,0.4370567375886525,0.7085389254385964,0.458021978021978,0.5345392136830757
1074,74.04493999481201,0.07969164848327637,1.0591061115264893,28.8,1120.160768,0.511081560283688,0.7207373903508771,0.4632967032967033,0.5650385513104228
1099,76.45949506759644,0.09104037284851074,1.047271490097046,28.8,1120.160768,0.5314716312056738,0.737047697368421,0.47010989010989007,0.5795430728946617
1124,78.80961966514587,0.07988929748535156,1.0204569101333618,28.8,1120.160768,0.5305851063829787,0.740748355263158,0.4569230769230769,0.5760855128564045
