step,cumulative time,step time,train loss,current mem MB,peak mem MB,Amazon_employee_access/ROC AUC,blood-transfusion-service-center/ROC AUC,diabetes/ROC AUC,ROC AUC
24,1.7406346797943115,0.05976676940917969,1.1993134021759033,28.813824,1121.678336,0.4663120567375887,0.5895696271929824,0.25186813186813184,0.4359166052662344
49,3.3041937351226807,0.061441898345947266,1.182663917541504,28.813824,1121.678336,0.5062056737588652,0.5836759868421052,0.249010989010989,0.4462975498706532
74,4.859791040420532,0.06154918670654297,1.1598182916641235,28.813824,1121.678336,0.5398936170212766,0.5547560307017544,0.35945054945054944,0.48470006572452684
99,6.441684246063232,0.061135053634643555,1.184180736541748,28.813824,1121.678336,0.5678191489361702,0.6060169956140351,0.32197802197802194,0.4986047221760757
124,8.00019907951355,0.061156511306762695,1.1831049919128418,28.813824,1121.678336,0.612145390070922,0.5714775219298246,0.3798901098901099,0.5211710072969522
149,9.575821161270142,0.06381654739379883,1.1648025512695312,28.813824,1121.678336,0.6396276595744681,0.5794270833333333,0.39989010989010987,0.5396482842659704
174,11.15344500541687,0.055544376373291016,1.1487905979156494,28.813824,1121.678336,0.6458333333333334,0.6491913377192983,0.3759340659340659,0.5569862456622325
199,12.73689079284668,0.065338134765625,1.1166576147079468,28.813824,1121.678336,0.6653368794326241,0.7007264254385965,0.5512087912087912,0.6390906986933373
224,14.33641529083252,0.06682634353637695,1.1165014505386353,28.813824,1121.678336,0.6152482269503546,0.5502330043859649,0.4438461538461539,0.5364424617274911
249,15.941043615341187,0.06521940231323242,1.1648445129394531,28.813824,1121.678336,0.7158687943262413,0.4747121710526315,0.5916483516483517,0.5940764390090748
274,17.551677703857422,0.06649112701416016,1.1534276008605957,28.813824,1121.678336,0.5678191489361702,0.4264665570175438,0.6786813186813186,0.5576556748783442
299,19.167640686035156,0.06462955474853516,1.1095402240753174,28.813824,1121.678336,0.5425531914893617,0.3967242324561403,0.6881318681318681,0.54246976402579
324,20.745118141174316,0.06392359733581543,1.1695373058319092,28.813824,1121.678336,0.4716312056737588,0.42852247807017546,0.6364835164835164,0.5122124000758169
349,22.3759925365448,0.06557512283325195,1.1323986053466797,28.813824,1121.678336,0.47606382978723405,0.43044133771929827,0.5848351648351648,0.4971134441138991
374,23.965538024902344,0.0636436939239502,1.1337792873382568,28.813824,1121.678336,0.5394503546099291,0.43893914473684215,0.5862637362637362,0.5215510785368358
399,25.566064596176147,0.06483197212219238,1.0345584154129028,28.813824,1121.678336,0.6143617021276596,0.5030838815789473,0.624065934065934,0.5805038392575137
424,27.20084524154663,0.06471657752990723,1.0444514751434326,28.813824,1121.678336,0.625,0.5188459429824561,0.6713186813186813,0.6050548747670458
449,28.820655584335327,0.06204628944396973,1.088698148727417,28.813824,1121.678336,0.6830673758865249,0.5391310307017544,0.6171428571428571,0.6131137545770454
474,30.458499670028687,0.06947040557861328,1.2157700061798096,28.813824,1121.678336,0.603723404255319,0.6161595394736842,0.5848351648351648,0.6015727028547226
