step,cumulative time,step time,train loss,Amazon_employee_access/ROC AUC,blood-transfusion-service-center/ROC AUC,diabetes/ROC AUC,ROC AUC
24,1.7884364128112793,0.058539390563964844,0.4843004047870636,0.4804964539007093,0.42674067982456143,0.7703296703296704,0.5591889346849803
49,3.2266652584075928,0.05995965003967285,0.5400705933570862,0.5611702127659575,0.5584566885964912,0.2315384615384615,0.4503884543003034
74,4.688180923461914,0.05552530288696289,0.5396265983581543,0.5567375886524822,0.49856085526315785,0.2863736263736264,0.4472240234297555
99,6.158235311508179,0.061049699783325195,0.466543585062027,0.5726950354609929,0.41947642543859653,0.5676923076923077,0.5199545895306324
124,7.662494897842407,0.05112767219543457,0.5236063599586487,0.5855496453900709,0.4881441885964912,0.3843956043956044,0.48602981279405544
149,9.116390943527222,0.05683779716491699,0.5005120038986206,0.6019503546099291,0.4947231359649123,0.5954945054945054,0.5640559986897823
174,10.588457584381104,0.06317448616027832,0.5282008647918701,0.62322695035461,0.539268092105263,0.6598901098901099,0.6074617174499943
199,12.112765550613403,0.06276178359985352,0.47641807794570923,0.6081560283687943,0.6028645833333333,0.7336263736263737,0.6482156617761671
224,13.620526552200317,0.05941891670227051,0.47295817732810974,0.5545212765957448,0.6402823464912281,0.7473626373626373,0.6473887534832033
249,15.075555562973022,0.05110454559326172,0.5209686756134033,0.5718085106382979,0.6622121710526316,0.76010989010989,0.6647101906002733
274,16.548166751861572,0.06767463684082031,0.5488492250442505,0.5815602836879432,0.6893503289473685,0.7746153846153846,0.6818419990835655
299,18.006303310394287,0.050850629806518555,0.5337602496147156,0.5961879432624113,0.6946957236842105,0.7932967032967033,0.6947267900811084
324,19.44242000579834,0.061982154846191406,0.4956514537334442,0.5926418439716312,0.6911321271929823,0.7978021978021979,0.6938587229889371
349,20.940399408340454,0.05121588706970215,0.5368520021438599,0.600177304964539,0.6877055921052633,0.7979120879120879,0.6952649949939634
374,22.423883199691772,0.057375192642211914,0.4616595506668091,0.5899822695035462,0.6845531798245614,0.8004395604395604,0.6916583365892226
399,23.914140462875366,0.06417155265808105,0.46710753440856934,0.573581560283688,0.6785224780701754,0.8015384615384616,0.6845474999641082
