step,cumulative time,step time,train loss,Amazon_employee_access/ROC AUC,blood-transfusion-service-center/ROC AUC,diabetes/ROC AUC,ROC AUC
24,1.850128173828125,0.06375622749328613,0.4935038983821869,0.3670212765957447,0.4390762061403508,0.7599999999999999,0.5220324942453651
49,3.3416526317596436,0.06131243705749512,0.5290084481239319,0.587322695035461,0.5402275219298246,0.2787912087912088,0.46878047525216476
74,4.900472402572632,0.057019710540771484,0.5377308130264282,0.5704787234042553,0.5224095394736842,0.45318681318681314,0.5153583586882509
99,6.473293781280518,0.06468772888183594,0.46738675236701965,0.5833333333333333,0.4677220394736842,0.7172527472527472,0.5894360400199216
124,8.043245315551758,0.05605006217956543,0.5260760188102722,0.5846631205673759,0.5239172149122807,0.7261538461538461,0.6115780605445009
149,9.566269874572754,0.04840850830078125,0.5025216937065125,0.589982269503546,0.5380345394736842,0.7648351648351649,0.630950657937465
174,11.094962358474731,0.0719749927520752,0.5234256982803345,0.5536347517730495,0.5306332236842105,0.7697802197802198,0.6180160650791598
199,12.643933534622192,0.059137582778930664,0.46957358717918396,0.5740248226950354,0.5248766447368421,0.768021978021978,0.6223078151512852
224,14.172313690185547,0.05905771255493164,0.46433794498443604,0.5602836879432624,0.5215871710526315,0.7695604395604396,0.6171437661854445
249,15.668022871017456,0.05835866928100586,0.5329148173332214,0.550531914893617,0.49828673245614036,0.77,0.6062728824499192
274,17.202210664749146,0.07005977630615234,0.5706095695495605,0.5700354609929078,0.48225054824561403,0.7689010989010988,0.6070623693798735
299,18.734431505203247,0.05550527572631836,0.5266513228416443,0.5509751773049645,0.4922560307017544,0.7665934065934066,0.6032748715333752
324,20.228249073028564,0.05988717079162598,0.5055851340293884,0.5465425531914894,0.5306332236842105,0.7678021978021978,0.6149926582259658
349,21.820977210998535,0.0553591251373291,0.5382048487663269,0.5492021276595744,0.5447505482456141,0.7681318681318681,0.6206948480123522
374,23.387393474578857,0.04868912696838379,0.46449464559555054,0.5403368794326241,0.5489994517543859,0.7695604395604395,0.6196322569158165
399,24.925734043121338,0.06667971611022949,0.47862696647644043,0.5376773049645389,0.537623355263158,0.7687912087912089,0.6146972896729687
424,26.520759344100952,0.07145309448242188,0.47855955362319946,0.5314716312056738,0.5110334429824561,0.7678021978021978,0.6034357573301092
449,28.120253086090088,0.06617522239685059,0.47119617462158203,0.5168439716312057,0.5017132675438597,0.7668131868131868,0.5951234753294173
474,29.800040245056152,0.05819535255432129,0.5106643438339233,0.5079787234042553,0.5103481359649122,0.7665934065934066,0.5949734219875247
499,31.428900957107544,0.06924676895141602,0.5188329219818115,0.5243794326241135,0.5119928728070176,0.7675824175824175,0.6013182410045163
524,32.920305490493774,0.06141781806945801,0.49994540214538574,0.5292553191489362,0.5048656798245614,0.7672527472527472,0.6004579154087483
549,34.5272102355957,0.06109023094177246,0.46683499217033386,0.5310283687943262,0.5172012061403509,0.767912087912088,0.6053805542822551
574,36.08673620223999,0.058409690856933594,0.4422052800655365,0.5456560283687943,0.516515899122807,0.7656043956043955,0.6092587743653324
599,37.72127723693848,0.07777070999145508,0.4717489182949066,0.5487588652482269,0.514734100877193,0.7649450549450549,0.6094793403568249
624,39.285605669021606,0.06935429573059082,0.5664539337158203,0.5678191489361701,0.5172012061403508,0.764065934065934,0.6163620963808184
649,40.88180232048035,0.05832982063293457,0.5038950443267822,0.5709219858156028,0.5177494517543859,0.7626373626373626,0.6171029334024505
